X,Elevation,Resistivity,Conductivity
363.76,215.11,25.22,0.0397
366.26,215.11,31.35,0.0319
368.76,215.12,75.15,0.0133
371.26,215.12,73.06,0.0137
373.76,215.13,66.07,0.0151
376.26,215.13,49.35,0.0203
378.76,215.14,42.16,0.0237
381.26,215.14,42.27,0.0237
383.76,215.15,42.41,0.0236
386.26,215.15,42.54,0.0235
388.76,215.16,42.6,0.0235
391.26,215.16,42.56,0.0235
393.76,215.17,42.44,0.0236
396.26,215.17,42.2,0.0237
398.76,215.18,41.98,0.0238
401.26,215.18,41.72,0.024
403.76,215.18,41.45,0.0241
406.26,215.19,41.14,0.0243
408.76,215.19,40.65,0.0246
411.26,215.2,40.18,0.0249
413.76,215.2,39.96,0.025
416.26,215.21,39.85,0.0251
418.76,215.21,39.76,0.0251
421.26,215.22,39.52,0.0253
423.76,215.22,39.17,0.0255
426.26,215.23,38.83,0.0258
428.76,215.23,38.54,0.0259
431.26,215.24,38.21,0.0262
433.76,215.24,37.53,0.0266
436.26,215.24,37.16,0.0269
438.76,215.25,42.02,0.0238
441.26,215.25,50.59,0.0198
443.76,215.26,52.44,0.0191
446.26,215.26,52.41,0.0191
448.76,215.27,39.87,0.0251
451.26,215.27,28.74,0.0348
453.76,215.28,26.71,0.0374
456.26,215.28,26.72,0.0374
458.76,215.29,60.49,0.0165
461.26,215.29,63.07,0.0159
463.76,215.3,57.36,0.0174
466.26,215.3,54.37,0.0184
468.76,215.31,48.93,0.0204
471.26,215.31,45.32,0.0221
473.76,215.31,45.21,0.0221
476.26,215.32,45.13,0.0222
478.76,215.32,45.04,0.0222
481.26,215.33,45.03,0.0222
483.76,215.33,45.05,0.0222
486.26,215.34,45.03,0.0222
488.76,215.34,44.96,0.0222
491.26,215.35,44.83,0.0223
493.76,215.35,44.59,0.0224
496.26,215.36,44.15,0.0226
498.76,215.36,43.61,0.0229
501.26,215.37,43.2,0.0231
503.76,215.37,43.04,0.0232
506.26,215.38,42.95,0.0233
508.76,215.38,42.8,0.0234
511.26,215.38,42.37,0.0236
513.76,215.39,41.76,0.0239
516.26,215.39,41.33,0.0242
518.76,215.4,40.92,0.0244
521.26,215.4,40.37,0.0248
523.76,215.41,40.03,0.025
526.26,215.41,39.9,0.0251
528.76,215.42,42.45,0.0236
531.26,215.42,48.76,0.0205
533.76,215.43,50.15,0.0199
536.26,215.43,50.23,0.0199
538.76,215.44,38.28,0.0261
541.26,215.44,35.89,0.0279
543.76,215.44,35.84,0.0279
546.26,215.45,42.26,0.0237
548.76,215.45,56.97,0.0176
551.26,215.46,46.63,0.0214
553.76,215.46,42.01,0.0238
556.26,215.47,41.67,0.024
558.76,215.47,41.7,0.024
561.26,215.48,41.6,0.024
563.76,215.48,41.36,0.0242
566.26,215.49,41.17,0.0243
568.76,215.49,41.2,0.0243
571.26,215.5,41.37,0.0242
573.76,215.5,42.58,0.0235
576.26,215.51,45.04,0.0222
578.76,215.51,45.54,0.022
581.26,215.51,45.59,0.0219
583.76,215.52,45.6,0.0219
586.26,215.52,45.69,0.0219
588.76,215.53,45.84,0.0218
591.26,215.53,45.96,0.0218
593.76,215.54,46.19,0.0216
596.26,215.54,46.6,0.0215
598.76,215.55,46.6,0.0215
601.26,215.55,45.94,0.0218
603.76,215.56,41.19,0.0243
606.26,215.56,41.15,0.0243
608.76,215.57,47.45,0.0211
611.26,215.57,47.85,0.0209
613.76,215.57,45.27,0.0221
616.26,215.58,37.22,0.0269
618.76,215.58,36.39,0.0275
621.26,215.59,36.22,0.0276
623.76,215.59,36.11,0.0277
626.26,215.6,30.71,0.0326
628.76,215.6,23.95,0.0418
631.26,215.61,24.12,0.0415
633.76,215.61,24.43,0.0409
636.26,215.62,24.74,0.0404
638.76,215.62,29.7,0.0337
641.26,215.63,36.86,0.0271
643.76,215.63,38.16,0.0262
646.26,215.64,37.93,0.0264
648.76,215.64,37.38,0.0267
651.26,215.64,34.89,0.0287
653.76,215.65,33.4,0.0299
656.26,215.65,33.33,0.03
658.76,215.66,33.56,0.0298
661.26,215.66,34.25,0.0292
663.76,215.67,35.18,0.0284
666.26,215.67,35.79,0.0279
668.76,215.68,35.83,0.0279
671.26,215.68,35.7,0.028
673.76,215.69,35.45,0.0282
676.26,215.69,34.42,0.0291
678.76,215.7,34.19,0.0292
681.26,215.7,32.31,0.0309
683.76,215.71,108.71,0.009199
13.77,211.96,88.49,0.0113
16.27,211.96,71.52,0.014
18.77,211.97,68.29,0.0146
21.27,211.97,61.57,0.0162
23.77,211.98,59.09,0.0169
26.27,211.98,55.93,0.0179
28.77,211.99,52.61,0.019
31.27,211.99,50.64,0.0197
